SYN1       NO 6507/8-1
SYN2          6507/8-1
SYN3                    Synthetic - GUFF                              4.0
SYN7            0.000000    0.000000
SYN7            4.000000    0.000000
SYN7            8.000000    0.000000
SYN7            12.000000   0.000000
SYN7            16.000000   0.000000
SYN7            20.000000   0.000000
SYN7            24.000000   0.000000
SYN7            28.000000   0.000000
SYN7            32.000000   0.000000
SYN7            36.000000   0.000000
SYN7            40.000000   0.000000
SYN7            44.000000   0.000000
SYN7            48.000000   0.000000
SYN7            52.000000   0.000000
SYN7            56.000000   0.000000
SYN7            60.000000   0.000000
SYN7            64.000000   0.000000
SYN7            68.000000   0.000000
SYN7            72.000000   0.000000
SYN7            76.000000   0.000000
SYN7            80.000000   0.000000
SYN7            84.000000   0.000000
SYN7            88.000000   0.000000
SYN7            92.000000   0.000000
SYN7            96.000000   0.000000
SYN7            100.000000  0.000000
SYN7            104.000000  0.000000
SYN7            108.000000  0.000000
SYN7            112.000000  0.000000
SYN7            116.000000  0.000000
SYN7            120.000000  0.000000
SYN7            124.000000  0.000000
SYN7            128.000000  0.000000
SYN7            132.000000  0.000000
SYN7            136.000000  0.000000
SYN7            140.000000  0.000000
SYN7            144.000000  0.000000
SYN7            148.000000  0.000000
SYN7            152.000000  0.000000
SYN7            156.000000  0.000000
SYN7            160.000000  0.000000
SYN7            164.000000  0.000000
SYN7            168.000000  0.000000
SYN7            172.000000  0.000000
SYN7            176.000000  0.000000
SYN7            180.000000  0.000000
SYN7            184.000000  0.000000
SYN7            188.000000  0.000000
SYN7            192.000000  0.000000
SYN7            196.000000  0.000000
SYN7            200.000000  0.000000
SYN7            204.000000  0.000000
SYN7            208.000000  0.000000
SYN7            212.000000  0.000000
SYN7            216.000000  0.000000
SYN7            220.000000  0.000000
SYN7            224.000000  0.000000
SYN7            228.000000  0.000000
SYN7            232.000000  0.000000
SYN7            236.000000  0.000000
SYN7            240.000000  0.000000
SYN7            244.000000  0.000000
SYN7            248.000000  0.000000
SYN7            252.000000  0.000000
SYN7            256.000000  0.000000
SYN7            260.000000  0.000000
SYN7            264.000000  0.000000
SYN7            268.000000  0.000000
SYN7            272.000000  0.000000
SYN7            276.000000  0.000000
SYN7            280.000000  0.000000
SYN7            284.000000  0.000000
SYN7            288.000000  0.000000
SYN7            292.000000  0.000000
SYN7            296.000000  0.000000
SYN7            300.000000  0.000000
SYN7            304.000000  0.000000
SYN7            308.000000  0.000000
SYN7            312.000000  0.000000
SYN7            316.000000  0.000000
SYN7            320.000000  0.000000
SYN7            324.000000  0.000000
SYN7            328.000000  0.000000
SYN7            332.000000  0.000000
SYN7            336.000000  0.000000
SYN7            340.000000  0.000000
SYN7            344.000000  0.000000
SYN7            348.000000  0.000000
SYN7            352.000000  0.000000
SYN7            356.000000  0.000000
SYN7            360.000000  0.000000
SYN7            364.000000  0.000000
SYN7            368.000000  0.000000
SYN7            372.000000  0.000000
